;num_a;num_b;num_c;num_ç;num_d;num_e;num_f;num_g;num_h;num_i;num_j;num_k;num_l;num_m;num_n;num_ñ;num_o;num_p;num_q;num_r;num_s;num_t;num_u;num_v;num_w;num_x;num_y;num_z;num_sch;num_ch;num_sh;num_gn;num_esszett;num_ssh;num_ix;num_ll;num_œ;num_à;num_á;num_â;num_ä;num_è;num_é;num_ê;num_ë;num_ì;num_í;num_î;num_ï;num_ò;num_ó;num_ô;num_ö;num_ù;num_ú;num_û;num_ü;num_consonants;num_vowels;num_triple_vowels;num_triple_consonants;num_capital;max_length_word;mean_length_words
8125;8;1;3;0;3;14;3;3;7;6;0;1;7;2;9;0;6;2;0;10;1;8;1;0;0;0;4;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35;67;0;4;3;9;5.2
8126;4;1;1;0;2;7;1;3;3;4;0;0;2;2;7;0;2;1;0;2;1;11;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;40;0;0;1;7;4.266666666666667
8127;3;0;0;0;1;7;1;1;10;3;0;0;2;0;2;0;4;2;0;8;4;5;1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;39;0;5;4;9;3.933333333333333
8128;4;2;4;0;2;11;1;2;5;9;0;2;2;2;4;0;7;2;0;7;10;10;3;0;1;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;59;1;1;3;10;4.55
8129;7;1;0;0;1;13;4;1;5;5;0;0;2;1;7;0;6;2;0;7;7;11;0;2;5;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;58;0;3;1;8;4.7894736842105265
8130;3;0;2;0;2;7;6;0;3;5;0;1;4;2;3;0;1;1;0;2;1;3;3;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;34;0;1;3;10;5.777777777777778
8131;9;1;3;0;3;9;1;3;9;6;0;0;6;1;5;0;2;0;0;2;4;9;3;2;3;0;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;56;0;2;4;9;4.35
8132;2;0;2;0;3;11;0;4;4;6;0;1;1;1;6;0;8;8;0;8;5;9;2;1;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;56;0;0;3;9;5.0
8133;3;0;2;0;1;2;0;0;2;2;0;0;0;1;3;0;3;0;0;1;0;4;1;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;17;0;1;0;7;3.5
8134;5;0;2;0;4;8;1;1;6;3;0;3;3;3;1;0;4;1;0;2;4;7;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;39;0;2;2;8;4.916666666666667
8135;6;0;1;0;2;8;5;6;5;8;0;0;6;2;7;0;8;2;0;12;5;4;2;1;2;0;2;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32;65;0;6;6;15;5.875
8136;5;2;0;0;3;8;0;3;4;9;0;3;4;2;11;0;5;2;0;4;3;5;1;1;2;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;52;0;2;2;9;5.0588235294117645
8137;2;2;2;0;2;6;1;1;5;4;0;2;1;2;2;0;4;0;0;2;2;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;29;0;0;2;7;4.090909090909091
8138;5;1;2;0;0;6;2;1;4;5;0;1;2;4;3;0;4;1;0;3;2;8;3;1;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;38;0;3;2;7;3.8125
